year,country,global_avg_temperature,temperature_anomaly,max_temperature,min_temperature,co2_concentration_ppm,annual_rainfall_mm,sea_level_rise_mm,sea_surface_temperature,heatwave_days,drought_index,flood_events_count,forest_cover_percent,deforestation_rate,fossil_fuel_consumption,renewable_energy_share,air_quality_index,predicted_temperature_2050,climate_risk_index
2018,Germany,14.03,1.16,37.02,4.31,387.85,814.11,2.14,14.38,50,0.85,11,64.33,1.26,28.14,42.3,148,3.3,23.69
2008,India,15.03,1.05,32.25,-0.44,407.24,735.61,4.19,15.33,37,1.01,11,42.69,0.62,86.4,53.65,50,2.63,70.1
1994,Pakistan,14.86,1.24,41.57,1.08,450.54,1982.92,6.46,15.9,27,4.59,1,65.47,2.08,34.95,47.2,107,1.33,34.74
2022,USA,15.29,1.19,32.17,1.68,415.42,1162.01,3.37,17.26,25,4.29,6,44.34,2.15,77.11,36.65,129,2.51,45.59
1987,Australia,13.75,1.32,40.99,10.38,403.42,1170.25,4.64,16.62,41,1.0,4,14.18,0.76,37.27,50.35,149,2.87,55.77
2000,France,14.2,1.68,27.62,10.17,342.89,1178.57,2.31,16.28,22,4.38,9,43.17,0.77,50.15,59.28,172,1.17,68.62
2018,France,14.67,1.41,33.1,3.75,426.67,1422.19,1.48,15.78,45,1.05,5,44.54,3.46,65.85,21.51,71,2.67,23.87
1998,India,13.94,1.22,33.35,9.91,434.75,1122.34,4.6,14.54,48,3.13,10,22.86,0.93,31.12,11.51,110,2.1,83.59
2002,Canada,14.89,1.85,36.39,4.31,372.5,1244.87,4.16,17.39,29,0.41,13,38.26,2.95,71.61,45.23,113,2.86,72.18
1990,Canada,15.23,1.54,39.31,3.69,413.33,682.43,2.94,17.35,2,4.4,5,37.57,1.7,68.29,58.82,177,2.16,23.41
1990,India,14.15,1.06,28.75,5.23,419.83,1295.18,5.55,15.57,27,0.26,13,47.37,1.58,58.02,11.42,138,2.37,97.5
2003,China,14.52,0.61,29.46,6.14,439.12,928.97,1.38,14.85,32,2.77,13,25.58,1.1,59.61,28.74,60,2.38,66.48
2015,USA,15.37,0.7,27.99,2.78,396.88,1201.52,2.02,18.83,41,3.9,11,44.9,2.73,27.4,8.42,79,2.56,45.24
2019,France,15.58,1.47,41.6,5.09,393.12,485.46,2.85,16.87,2,0.58,13,24.46,3.09,50.52,47.71,81,2.42,15.75
2003,France,14.95,0.85,36.49,8.15,403.59,1189.05,3.07,17.1,4,2.02,10,36.79,0.99,26.06,57.18,111,1.75,53.32
1982,China,14.86,0.7,29.58,5.52,447.11,327.43,5.26,17.16,56,0.21,5,17.36,0.42,41.55,32.44,85,2.07,16.48
2001,France,13.99,0.8,32.78,5.17,441.1,917.23,3.56,14.7,18,3.41,9,12.24,0.57,83.02,27.52,121,2.2,42.95
1981,Australia,14.72,0.83,40.91,6.98,414.47,488.33,3.27,18.75,41,1.54,11,29.24,2.8,60.22,54.92,112,2.82,40.87
2003,USA,14.83,1.44,33.61,7.67,440.49,1189.91,1.98,15.89,57,2.8,7,26.47,1.58,71.99,12.34,157,2.44,71.99
2023,Brazil,14.37,1.04,33.31,4.75,355.78,1020.78,4.8,17.73,56,4.66,9,34.42,0.55,60.17,54.04,80,1.87,19.24
2009,France,14.14,0.55,31.09,3.1,434.79,768.76,2.14,18.69,47,1.53,3,67.72,1.26,33.6,26.57,133,1.74,82.19
2017,India,13.73,1.11,29.88,5.76,387.03,1430.32,1.97,16.62,0,0.24,9,41.33,1.85,61.64,35.77,171,2.53,32.61
1981,Australia,13.46,1.19,40.92,-1.38,459.18,731.0,3.02,14.73,37,3.38,7,43.19,3.0,72.88,34.06,138,1.96,44.4
2000,France,13.33,0.91,43.37,4.16,388.39,90.64,3.7,12.76,8,3.93,8,66.5,2.28,29.69,38.88,181,2.58,77.23
2012,Australia,14.85,1.56,30.07,-4.89,393.68,1154.09,2.64,16.44,59,4.79,12,65.27,0.7,77.18,56.82,181,2.17,62.54
1991,Germany,14.59,0.93,42.02,-1.7,429.06,470.02,4.35,16.88,4,0.79,12,63.05,0.64,58.88,57.31,92,2.93,30.8
2001,Brazil,14.21,1.54,32.56,-2.3,431.47,740.5,3.16,15.63,58,1.96,3,15.88,1.5,20.3,50.71,167,1.83,38.62
2023,UK,14.3,1.34,37.67,9.19,403.84,844.8,4.76,16.7,45,4.22,0,48.06,0.36,56.38,15.53,68,2.92,30.58
2004,India,14.63,1.47,42.05,5.06,424.29,572.8,4.11,17.15,41,4.03,2,58.49,2.67,47.7,23.34,62,2.69,59.48
2006,India,14.4,0.66,34.27,-0.05,427.38,851.88,5.65,17.99,33,3.12,0,60.13,1.46,40.75,31.83,124,1.98,33.26
